,sequence,genotype,subtype,PB2,PB1,PA,HA,NP,NA,MP,NS,constellation
113,Minor37_ref,Minor37,H5N1,PB2_group23,PB1_group34,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group23|PB1_group34|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
114,Minor16_ref,Minor16,H5N1,PB2_group2,PB1_group34,PA_group2,HA_group1,NP_group31,NA_group14,MP_group1,NS_group1,PB2_group2|PB1_group34|PA_group2|HA_group1|NP_group31|NA_group14|MP_group1|NS_group1
115,Minor35_ref,Minor35,H5N1,PB2_group4,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group4|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
116,A/great_egret/Czech_Republic/23609/2021,G13,H5N1,PB2_group36,PB1_group1,PA_group21,HA_group1,NP_group32,NA_group1,MP_group1,NS_group10,PB2_group36|PB1_group1|PA_group21|HA_group1|NP_group32|NA_group1|MP_group1|NS_group10
117,A/swan/Italy/22VIR10875-2/2022,CD,H5N1,PB2_group8,PB1_group1,PA_group3,HA_group1,NP_group33,NA_group1,MP_group1,NS_group10,PB2_group8|PB1_group1|PA_group3|HA_group1|NP_group33|NA_group1|MP_group1|NS_group10
118,A/peregrine_falcon/Northern_Ireland/AI102021-2/2021,G_H5N3HPAIV,H5N3,PB2_group37,PB1_group29,PA_group18,HA_group1,NP_group21,NA_group15,MP_group1,NS_group1,PB2_group37|PB1_group29|PA_group18|HA_group1|NP_group21|NA_group15|MP_group1|NS_group1
119,A/pheasant/England/251536/2022,CR_WB153,H5N1,PB2_group8,PB1_group1,PA_group3,HA_group1,NP_group5,NA_group2,MP_group1,NS_group15,PB2_group8|PB1_group1|PA_group3|HA_group1|NP_group5|NA_group2|MP_group1|NS_group15
120,Minor29_ref,Minor29,H5N1,PB2_group7,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group7|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
121,A/chicken/Montana/22-010445-001-original/2022,G32,H5N1,PB2_group2,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group2,MP_group1,NS_group1,PB2_group2|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group2|MP_group1|NS_group1
122,B3.11_ref,B3.11,H5N1,PB2_group18,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group18|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
123,Minor08_ref,Minor08,H5N1,PB2_group2,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group2|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
124,A/Eurasian_Wigeon/Netherlands/1/2020,G01,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group1|MP_group1|NS_group1
125,A3_ref,A3,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group1|MP_group1|NS_group1
126,B3.10_ref,B3.10,H5N1,PB2_group18,PB1_group4,PA_group2,HA_group1,NP_group15,NA_group1,MP_group1,NS_group2,PB2_group18|PB1_group4|PA_group2|HA_group1|NP_group15|NA_group1|MP_group1|NS_group2
127,Minor85_ref,Minor85,H5N1,PB2_group38,PB1_group35,PA_group2,HA_group1,NP_group4,NA_group1,MP_group1,NS_group16,PB2_group38|PB1_group35|PA_group2|HA_group1|NP_group4|NA_group1|MP_group1|NS_group16
128,Minor76_ref,Minor76,H5N1,PB2_group2,PB1_group30,PA_group2,HA_group1,NP_group15,NA_group1,MP_group1,NS_group2,PB2_group2|PB1_group30|PA_group2|HA_group1|NP_group15|NA_group1|MP_group1|NS_group2
129,B3.3_ref,B3.3,H5N1,PB2_group39,PB1_group36,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group39|PB1_group36|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
130,B2.1_ref,B2.1,H5N1,PB2_group7,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group7|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
131,A/common_buzzard/Netherlands/21038793-001/2021,G11,H5N1,PB2_group22,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group8,MP_group1,NS_group1,PB2_group22|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group8|MP_group1|NS_group1
132,A/chicken/England/085598/2022,BB_AIV48,H5N1,PB2_group8,PB1_group1,PA_group10,HA_group1,NP_group9,NA_group2,MP_group1,NS_group7,PB2_group8|PB1_group1|PA_group10|HA_group1|NP_group9|NA_group2|MP_group1|NS_group7
133,Minor80_ref,Minor80,H5N1,PB2_group16,PB1_group35,PA_group2,HA_group1,NP_group4,NA_group1,MP_group1,NS_group11,PB2_group16|PB1_group35|PA_group2|HA_group1|NP_group4|NA_group1|MP_group1|NS_group11
134,B3.12_ref,B3.12,H5N1,PB2_group18,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group18|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
135,A/eurasian_curlew/Netherlands/20016890-001/2020,G02,H5N1,PB2_group32,PB1_group37,PA_group7,HA_group1,NP_group18,NA_group16,MP_group1,NS_group14,PB2_group32|PB1_group37|PA_group7|HA_group1|NP_group18|NA_group16|MP_group1|NS_group14
136,A/mute_swan/Wales/048068/2020,E_H5N5.2,H5N5,PB2_group32,PB1_group28,PA_group3,HA_group1,NP_group27,NA_group17,MP_group1,NS_group14,PB2_group32|PB1_group28|PA_group3|HA_group1|NP_group27|NA_group17|MP_group1|NS_group14
137,A/chicken/England/053052/2021,C_AIV07-B1a,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group8,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group8|MP_group1|NS_group1
138,Minor50_ref,Minor50,H5N1,PB2_group39,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group39|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
139,A/Herring_Gull/England/123277/2023,I,H5N1,PB2_group13,PB1_group38,PA_group24,HA_group7,NP_group10,NA_group18,MP_group1,NS_group17,PB2_group13|PB1_group38|PA_group24|HA_group7|NP_group10|NA_group18|MP_group1|NS_group17
140,Minor10_ref,Minor10,H5N1,PB2_group23,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group23|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
141,A/Greylag_goose/England/132468/2023,DB_WB372,H5N1,PB2_group8,PB1_group15,PA_group3,HA_group2,NP_group5,NA_group3,MP_group1,NS_group3,PB2_group8|PB1_group15|PA_group3|HA_group2|NP_group5|NA_group3|MP_group1|NS_group3
142,Minor42_ref,Minor42,H5N1,PB2_group6,PB1_group35,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group6|PB1_group35|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
143,C2.1_ref,C2.1,H5N1,PB2_group3,PB1_group2,PA_group6,HA_group1,NP_group1,NA_group1,MP_group1,NS_group1,PB2_group3|PB1_group2|PA_group6|HA_group1|NP_group1|NA_group1|MP_group1|NS_group1
144,A/Spot-billed_duck/Korea/K22-920/2022,Genotype_II,H5N1,PB2_group10,PB1_group39,PA_group25,HA_group2,NP_group6,NA_group2,MP_group1,NS_group5,PB2_group10|PB1_group39|PA_group25|HA_group2|NP_group6|NA_group2|MP_group1|NS_group5
145,A/gull/France/22P015977/2022,G33,H5N1,PB2_group8,PB1_group1,PA_group10,HA_group1,NP_group9,NA_group2,MP_group1,NS_group7,PB2_group8|PB1_group1|PA_group10|HA_group1|NP_group9|NA_group2|MP_group1|NS_group7
146,Minor65_ref,Minor65,H5N1,PB2_group3,PB1_group1,PA_group6,HA_group1,NP_group1,NA_group1,MP_group1,NS_group1,PB2_group3|PB1_group1|PA_group6|HA_group1|NP_group1|NA_group1|MP_group1|NS_group1
147,Minor86_ref,Minor86,H5N1,PB2_group2,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group2|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
148,Minor78_ref,Minor78,H5N1,PB2_group2,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group2|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
149,Minor13_ref,Minor13,H5N1,PB2_group7,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group7|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
150,A6_ref,A6,H5N1,PB2_group13,PB1_group38,PA_group24,HA_group7,NP_group10,NA_group18,MP_group1,NS_group17,PB2_group13|PB1_group38|PA_group24|HA_group7|NP_group10|NA_group18|MP_group1|NS_group17
151,A/Cygnus_columbianus/Hubei/117/2021,G10,H5N1,PB2_group33,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group1,MP_group1,NS_group3,PB2_group33|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group1|MP_group1|NS_group3
152,A/chicken/Saratov/29-07V/2021,G04,H5N1,PB2_group8,PB1_group1,PA_group3,HA_group1,NP_group5,NA_group1,MP_group1,NS_group1,PB2_group8|PB1_group1|PA_group3|HA_group1|NP_group5|NA_group1|MP_group1|NS_group1
153,A/Pheasant/England/113701/2023,DD_WB359,H5N1,PB2_group17,PB1_group14,PA_group3,HA_group2,NP_group10,NA_group6,MP_group1,NS_group8,PB2_group17|PB1_group14|PA_group3|HA_group2|NP_group10|NA_group6|MP_group1|NS_group8
154,A/Humboldt_penguin/England/161651/2022,CC_AIV223,H5N1,PB2_group22,PB1_group1,PA_group21,HA_group1,NP_group5,NA_group2,MP_group1,NS_group3,PB2_group22|PB1_group1|PA_group21|HA_group1|NP_group5|NA_group2|MP_group1|NS_group3
155,Minor79_ref,Minor79,H5N1,PB2_group18,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group18|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
156,A/chicken/Wales/053969/2021,AH_AIV08,H5N1,PB2_group22,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group8,MP_group1,NS_group1,PB2_group22|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group8|MP_group1|NS_group1
157,A/seagull/Slovenia/2075_22VIR777-7/2021,G05,H5N1,PB2_group13,PB1_group1,PA_group12,HA_group1,NP_group25,NA_group1,MP_group1,NS_group1,PB2_group13|PB1_group1|PA_group12|HA_group1|NP_group25|NA_group1|MP_group1|NS_group1
158,Minor87_ref,Minor87,H5N1,PB2_group3,PB1_group2,PA_group6,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group3|PB1_group2|PA_group6|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
159,Minor63_ref,Minor63,H5N1,PB2_group23,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group23|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
160,A2_ref,A2,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group1|MP_group1|NS_group1
161,A/chicken/Tyumen/47-79V/2021,G06,H5N1,HA_group1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,HA_group1|Absent|Absent|Absent|Absent|Absent|Absent|Absent
162,Minor41_ref,Minor41,H5N1,PB2_group4,PB1_group41,PA_group2,HA_group1,NP_group35,NA_group1,MP_group1,NS_group2,PB2_group4|PB1_group41|PA_group2|HA_group1|NP_group35|NA_group1|MP_group1|NS_group2
163,Minor44_ref,Minor44,H5N1,PB2_group2,PB1_group3,PA_group2,HA_group1,NP_group23,NA_group1,MP_group1,NS_group2,PB2_group2|PB1_group3|PA_group2|HA_group1|NP_group23|NA_group1|MP_group1|NS_group2
164,Minor15_ref,Minor15,H5N1,PB2_group4,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group4|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
165,A/Mallard/Netherlands/19/2022,CB,H5N1,PB2_group41,PB1_group1,PA_group3,HA_group1,NP_group5,NA_group2,MP_group1,NS_group1,PB2_group41|PB1_group1|PA_group3|HA_group1|NP_group5|NA_group2|MP_group1|NS_group1
166,Minor33_ref,Minor33,H5N1,PB2_group4,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group4|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
167,Minor57_ref,Minor57,H5N1,PB2_group21,PB1_group8,PA_group2,HA_group1,NP_group16,NA_group1,MP_group1,NS_group1,PB2_group21|PB1_group8|PA_group2|HA_group1|NP_group16|NA_group1|MP_group1|NS_group1
168,Minor84_ref,Minor84,H5N1,PB2_group3,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group20,MP_group1,NS_group2,PB2_group3|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group20|MP_group1|NS_group2
169,Minor82_ref,Minor82,H5N1,PB2_group9,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group9|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
170,B2.2_ref,B2.2,H5N1,PB2_group7,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group4,PB2_group7|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group4
171,A/Buteo_buteo/Belgium/2606_0006/2022,G21,H5N1,PB2_group1,PB1_group42,PA_group2,HA_group2,NP_group21,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group42|PA_group2|HA_group2|NP_group21|NA_group1|MP_group1|NS_group1
172,Minor27_ref,Minor27,H5N1,PB2_group4,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group4|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
173,A/turkey/South_Dakota/22-008485-001-original/2022,G30,H5N1,PB2_group4,PB1_group3,PA_group2,HA_group2,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group4|PB1_group3|PA_group2|HA_group2|NP_group3|NA_group1|MP_group1|NS_group2
